Date,Country,City,Specie,count,min,max,median,variance
2023-10-30,FI,Turku,pressure,72,1000.0,1005.0,1002.0,24.49
2023-11-09,FI,Turku,pressure,72,1003.0,1005.0,1004.0,3.9
2023-11-26,FI,Turku,pressure,72,1001.0,1009.5,1005.0,71.34
2023-12-06,FI,Turku,pressure,72,1021.0,1027.0,1023.0,39.65
2023-12-12,FI,Turku,pressure,72,1007.0,1009.0,1008.0,4.28
2023-12-13,FI,Turku,pressure,72,1006.5,1010.0,1007.0,9.23
2023-12-30,FI,Turku,pressure,72,990.0,1006.5,995.5,273.55
2023-10-08,FI,Turku,pressure,72,999.0,1013.0,1005.5,295.98
2023-11-10,FI,Turku,pressure,72,998.0,1002.5,999.0,17.25
2023-11-22,FI,Turku,pressure,72,990.5,1027.5,1016.5,1431.33
2023-11-30,FI,Turku,pressure,72,1004.0,1009.0,1005.5,34.61
2023-12-24,FI,Turku,pressure,72,982.5,989.0,986.0,35.69
2023-10-09,FI,Turku,pressure,72,1010.0,1013.0,1011.0,10.88
2023-10-12,FI,Turku,pressure,72,980.0,996.5,984.5,247.11
2023-10-14,FI,Turku,pressure,72,978.5,988.0,980.0,39.28
2023-10-27,FI,Turku,pressure,72,1003.0,1005.5,1003.0,5.59
2023-11-01,FI,Turku,pressure,72,992.0,998.0,994.0,40.35
2023-11-14,FI,Turku,pressure,72,1001.0,1004.0,1002.0,11.39
2023-11-20,FI,Turku,pressure,72,1012.0,1018.5,1015.0,39.7
2023-12-07,FI,Turku,pressure,72,1027.0,1030.0,1029.0,6.32
2023-12-19,FI,Turku,pressure,72,985.0,998.5,988.0,106.58
2023-10-11,FI,Turku,pressure,72,982.0,1003.5,988.0,446.55
2023-10-13,FI,Turku,pressure,72,991.5,1003.0,1001.0,96.53
2023-10-23,FI,Turku,pressure,72,1009.0,1013.0,1010.0,16.69
2023-11-12,FI,Turku,pressure,72,1004.0,1006.0,1005.5,6.76
2023-11-23,FI,Turku,pressure,72,973.0,988.5,978.0,230.49
2023-12-02,FI,Turku,pressure,72,1005.0,1013.0,1008.5,56.62
2023-12-28,FI,Turku,pressure,72,995.0,1009.0,1004.5,244.91
2023-10-07,FI,Turku,pressure,72,978.0,999.0,985.5,568.94
2023-10-16,FI,Turku,pressure,72,997.0,1005.5,1001.0,71.93
2023-10-20,FI,Turku,pressure,72,1019.0,1022.0,1021.0,11.51
2023-11-08,FI,Turku,pressure,72,1001.0,1004.0,1003.0,12.57
2023-11-18,FI,Turku,pressure,72,1020.0,1023.0,1022.0,5.9
2023-12-01,FI,Turku,pressure,72,1002.0,1004.0,1003.0,3.27
2023-10-25,FI,Turku,pressure,72,1015.0,1018.0,1018.0,8.8
2023-10-31,FI,Turku,pressure,72,993.0,1004.5,998.5,114.65
2023-11-29,FI,Turku,pressure,72,1001.0,1009.0,1006.5,78.69
2023-12-16,FI,Turku,pressure,72,999.0,1018.0,1014.0,448.9
2023-09-25,FI,Turku,pressure,72,1023.0,1026.0,1025.0,9.08
2023-09-29,FI,Turku,pressure,72,1008.5,1015.0,1012.0,27.66
2023-11-17,FI,Turku,pressure,72,1021.0,1023.0,1022.0,5.33
2023-12-03,FI,Turku,pressure,72,1013.0,1014.0,1014.0,2.32
2023-12-05,FI,Turku,pressure,72,1016.0,1021.0,1018.5,25.28
2023-12-08,FI,Turku,pressure,72,1026.0,1029.0,1027.0,7.39
2023-10-24,FI,Turku,pressure,72,1013.0,1019.0,1018.0,31.58
2023-10-29,FI,Turku,pressure,72,1004.5,1009.0,1008.0,16.76
2023-11-04,FI,Turku,pressure,72,982.0,994.0,987.5,117.25
2023-11-19,FI,Turku,pressure,72,1013.0,1020.0,1014.5,54.3
2023-11-24,FI,Turku,pressure,72,974.0,990.5,979.5,266.4
2023-10-03,FI,Turku,pressure,72,993.5,1007.0,1005.0,164.56
2023-11-07,FI,Turku,pressure,72,993.5,1001.0,998.0,55.35
2023-11-28,FI,Turku,pressure,72,995.0,1003.5,997.5,54.28
2023-12-17,FI,Turku,pressure,72,999.5,1009.0,1005.5,61.04
2023-10-10,FI,Turku,pressure,72,1005.0,1013.0,1012.0,55.33
2023-10-21,FI,Turku,pressure,72,1016.0,1022.0,1021.0,39.77
2023-10-28,FI,Turku,pressure,72,1003.0,1007.0,1004.0,17.11
2023-10-01,FI,Turku,pressure,72,1005.0,1012.5,1007.5,67.45
2023-10-06,FI,Turku,pressure,72,983.5,1013.0,1012.0,906.18
2023-10-17,FI,Turku,pressure,72,1004.0,1007.0,1006.0,7.75
2023-11-27,FI,Turku,pressure,72,1004.5,1012.0,1011.0,37.82
2023-12-09,FI,Turku,pressure,72,1017.0,1026.0,1022.5,87.78
