"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2022-08-01","MX","San Luis Potosí","pm10",24,11,33,15,437.39,20.91,0.9,23.6,-0.06,-0.51,NULL,45,NULL,35,618,327
"2022-08-02","MX","San Luis Potosí","pm10",24,6,29,13,500.27,22.37,0.9,23.16,-0.08,-0.52,NULL,45,NULL,35,618,327
"2022-08-03","MX","San Luis Potosí","pm10",24,9,37,24,737.1,27.15,0.9,23.02,-0.09,-0.53,NULL,45,NULL,35,618,327
"2022-08-04","MX","San Luis Potosí","pm10",24,15,58,27,1273.75,35.69,0.9,22.91,-0.1,-0.53,NULL,45,NULL,35,618,327
"2022-08-05","MX","San Luis Potosí","pm10",24,25,54,32,449.55,21.2,0.9,22.84,-0.1,-0.53,NULL,45,NULL,35,618,327
"2022-08-06","MX","San Luis Potosí","pm10",24,28,52,35,353.26,18.8,0.9,23.24,-0.08,-0.52,NULL,45,NULL,35,618,327
"2022-08-07","MX","San Luis Potosí","pm10",24,16,34,19,245.44,15.67,0.9,23.09,-0.09,-0.52,NULL,45,NULL,35,618,327
"2022-08-08","MX","San Luis Potosí","pm10",24,7,41,18,824.33,28.71,0.9,22.9,-0.1,-0.53,NULL,45,NULL,35,618,327
"2022-08-09","MX","San Luis Potosí","pm10",24,10,33,20,425.49,20.63,0.9,22.91,-0.1,-0.53,NULL,45,NULL,35,618,327
"2022-08-10","MX","San Luis Potosí","pm10",24,8,27,18,306.09,17.5,0.9,22.72,-0.1,-0.53,NULL,45,NULL,35,618,327
"2022-08-11","MX","San Luis Potosí","pm10",24,10,32,15,480.85,21.93,0.9,22.57,-0.11,-0.54,NULL,45,NULL,35,618,327
"2022-08-12","MX","San Luis Potosí","pm10",24,10,33,20,331.58,18.21,0.9,22.44,-0.12,-0.54,NULL,45,NULL,35,618,327
"2022-08-13","MX","San Luis Potosí","pm10",24,7,57,24,1515.63,38.93,0.9,22.51,-0.11,-0.54,NULL,45,NULL,35,618,327
"2022-08-14","MX","San Luis Potosí","pm10",24,8,32,18,452.75,21.28,0.9,22.7,-0.11,-0.53,NULL,45,NULL,35,618,327
"2022-08-15","MX","San Luis Potosí","pm10",24,10,52,25,1344.33,36.67,0.9,22.97,-0.09,-0.53,NULL,45,NULL,35,618,327
"2022-08-16","MX","San Luis Potosí","pm10",24,4,20,10,196.07,14.0,0.9,22.03,-0.14,-0.55,NULL,45,NULL,35,618,327
"2022-08-17","MX","San Luis Potosí","pm10",24,2,193,23,14155.2,118.98,0.9,21.78,-0.15,-0.56,NULL,45,NULL,35,618,327
"2022-08-18","MX","San Luis Potosí","pm10",24,879,881,880,2.59,1.61,0.9,49.02,1.12,0.15,1,45,NULL,35,618,327
"2022-08-19","MX","San Luis Potosí","pm10",9999,879,881,880,3.02,1.74,0.9,76.46,2.41,0.87,1,45,NULL,35,618,327
"2022-08-20","MX","San Luis Potosí","pm10",24,879,881,880,3.46,1.86,0.9,103.98,3.69,1.59,1,45,NULL,35,618,327
"2022-08-21","MX","San Luis Potosí","pm10",9999,811.92,818.92,813.85,248.49,15.76,0.9,129.42,4.88,2.25,1,45,NULL,35,618,327
"2022-08-22","MX","San Luis Potosí","pm10",9999,744.85,756.85,747.69,493.53,22.22,0.9,153.19,5.99,2.87,1,45,NULL,35,618,327
"2022-08-23","MX","San Luis Potosí","pm10",9999,677.77,694.77,681.54,738.56,27.18,0.9,175.24,7.03,3.45,1,45,NULL,35,618,327
"2022-08-24","MX","San Luis Potosí","pm10",9999,610.69,632.69,615.38,983.6,31.36,0.9,195.29,7.96,3.97,1,45,NULL,35,618,327
"2022-08-25","MX","San Luis Potosí","pm10",9999,543.62,570.62,549.23,1228.63,35.05,0.9,213.25,8.8,4.44,1,45,NULL,35,618,327
"2022-08-26","MX","San Luis Potosí","pm10",9999,476.54,508.54,483.08,1473.67,38.39,0.9,229.13,9.55,4.86,1,45,NULL,35,618,327
"2022-08-27","MX","San Luis Potosí","pm10",9999,409.46,446.46,416.92,1718.7,41.46,0.9,243.05,10.2,5.22,1,45,NULL,35,618,327
"2022-08-28","MX","San Luis Potosí","pm10",9999,342.38,384.38,350.77,1963.74,44.31,0.9,254.93,10.75,5.53,1,45,NULL,35,618,327
"2022-08-29","MX","San Luis Potosí","pm10",9999,0,0,0,0,0.0,0.9,254.91,10.75,5.53,NULL,45,NULL,35,618,327
"2022-08-30","MX","San Luis Potosí","pm10",9999,0,0,0,0,0.0,0.9,255.15,10.76,5.54,NULL,45,NULL,35,618,327
"2022-08-31","MX","San Luis Potosí","pm10",9999,0,0,0,0,0.0,0.9,254.65,10.74,5.52,NULL,45,NULL,35,618,327
