"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2021-12-22","IN","Delhi","pm25",940,19,999,341,165387,406.68,1.0,235.87,5.44,1.34,1,15,NULL,100,224,162
"2021-12-01","IN","Delhi","pm25",966,49,999,294,83692.4,289.3,1.0,282.0,6.78,2.05,1,15,NULL,100,224,162
"2021-12-02","IN","Delhi","pm25",943,38,999,293,102743,320.54,1.0,285.2,6.88,2.1,1,15,NULL,100,224,162
"2021-12-26","IN","Delhi","pm25",898,76,999,387,175573,419.01,1.0,249.33,5.83,1.55,1,15,NULL,100,224,162
"2021-12-25","IN","Delhi","pm25",885,88,999,384,205444,453.26,1.0,246.43,5.75,1.5,1,15,NULL,100,224,162
"2021-12-24","IN","Delhi","pm25",895,82,999,305,146424,382.65,1.0,243.33,5.66,1.45,1,15,NULL,100,224,162
"2021-12-23","IN","Delhi","pm25",928,77,999,366,190848,436.86,1.0,241.57,5.61,1.43,1,15,NULL,100,224,162
"2020-11-09","IN","Delhi","pm25",854,24,999,506,222829,472.05,1.0,245.07,5.71,1.48,1,15,NULL,100,244,172
"2020-11-10","IN","Delhi","pm25",844,20,999,466,747442,864.55,1.0,254.9,6.0,1.63,1,15,NULL,100,244,172
"2020-11-15","IN","Delhi","pm25",923,5,999,280,387174,622.23,1.0,269.8,6.43,1.86,1,15,NULL,100,244,172
"2021-12-05","IN","Delhi","pm25",917,45,999,218,62088.9,249.18,1.0,274.7,6.57,1.94,1,15,NULL,100,224,162
"2021-11-05","IN","Ghāziābād","pm25",48,300,999,493,460798,678.82,1.0,185.63,3.98,0.61,1,15,NULL,100,251,176
"2021-12-15","IN","Delhi","pm25",944,79,999,223,65786.9,256.49,1.0,237.37,5.49,1.36,1,15,NULL,100,224,162
"2021-11-04","IN","Ghāziābād","pm25",48,154,999,306,242519,492.46,1.0,174.17,3.65,0.44,1,15,NULL,100,251,176
"2019-11-18","IN","Delhi","pm25",682,51,999,171,49026.9,221.42,1.0,275.93,6.61,1.96,1,15,NULL,100,238,169
"2021-12-20","IN","Delhi","pm25",937,43,999,211,139157,373.04,1.0,227.67,5.2,1.21,1,15,NULL,100,224,162
"2021-12-21","IN","Delhi","pm25",964,53,999,323,222981,472.21,1.0,230.6,5.29,1.26,1,15,NULL,100,224,162
"2019-11-03","IN","Delhi","pm25",658,118,999,577,397358,630.36,1.0,224.13,5.1,1.16,1,15,NULL,100,238,169
"2021-12-03","IN","Delhi","pm25",935,69,999,252,65042.1,255.03,1.0,286.5,6.92,2.12,1,15,NULL,100,224,162
"2020-11-14","IN","Delhi","pm25",951,48,999,432,217385,466.25,1.0,266.6,6.34,1.81,1,15,NULL,100,244,172
"2021-12-13","IN","Delhi","pm25",934,22,999,230,132232,363.64,1.0,237.13,5.48,1.36,1,15,NULL,100,224,162
"2021-12-14","IN","Delhi","pm25",964,44,999,255,95070.3,308.33,1.0,238.1,5.51,1.37,1,15,NULL,100,224,162
"2020-11-01","IN","Delhi","pm25",907,67,999,255,212640,461.13,1.0,200.37,4.41,0.79,1,15,NULL,100,244,172
"2021-11-04","IN","Delhi","pm25",936,151,999,353,220927,470.03,1.0,169.1,3.5,0.31,1,15,NULL,100,264,182
"2021-11-19","IN","Delhi","pm25",914,66,999,262,75394.6,274.58,1.0,247.47,5.78,1.52,1,15,NULL,100,264,182
"2021-11-22","IN","Delhi","pm25",780,78,999,183,24223.4,155.64,1.0,255.43,6.01,1.64,1,15,NULL,100,264,182
"2021-11-12","IN","Delhi","pm25",948,41,999,441,152078,389.97,1.0,221.73,5.03,1.12,1,15,NULL,100,264,182
"2021-11-13","IN","Delhi","pm25",877,1,999,290,172731,415.61,1.0,225.97,5.15,1.19,1,15,NULL,100,264,182
"2021-11-25","IN","Delhi","pm25",959,143,999,291,104615,323.44,1.0,266.03,6.32,1.8,1,15,NULL,100,264,182
"2021-11-30","IN","Delhi","pm25",935,46,999,216,55390.1,235.35,1.0,278.83,6.69,2.0,1,15,NULL,100,264,182
"2021-11-28","IN","Delhi","pm25",853,44,999,294,119039,345.02,1.0,276.1,6.61,1.96,1,15,NULL,100,264,182
"2021-11-02","IN","Delhi","pm25",980,78,999,197,22770.3,150.9,1.0,156.7,3.14,0.12,1,15,NULL,100,264,182
"2021-11-05","IN","Delhi","pm25",861,28,999,440,466927,683.32,1.0,179.27,3.79,0.47,1,15,NULL,100,264,182
"2021-11-16","IN","Delhi","pm25",930,96,999,295,109940,331.57,1.0,233.2,5.36,1.3,1,15,NULL,100,264,182
"2021-11-27","IN","Delhi","pm25",893,63,999,277,103751,322.1,1.0,272.77,6.52,1.91,1,15,NULL,100,264,182
"2019-01-14","IN","Delhi","pm25",660,59,999,169,70650.1,265.8,1.0,281.36,6.77,2.04,1,15,NULL,100,237,169
