"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2021-04-18","IN","Hyderabad","temperature",128,-3052.2,3205.2,28.5,3127540,1768.49,1.00,28.91,1.62,0.39,NULL,NULL,NULL,NULL,NULL,NULL
"2021-04-19","IN","Hyderabad","temperature",142,-984.7,992.4,29.1,175618,419.07,1.00,28.91,1.62,0.39,NULL,NULL,NULL,NULL,NULL,NULL
"2021-04-01","IN","Hyderabad","temperature",9999,-1598.3,1334.55,28.8,2347508.76,1532.16,1.00,28.92,1.62,0.39,NULL,NULL,NULL,NULL,NULL,NULL
"2021-04-02","IN","Hyderabad","temperature",9999,-2003.38,1659.19,28.75,2934366.57,1713.00,1.00,28.93,1.62,0.39,NULL,NULL,NULL,NULL,NULL,NULL
"2021-04-03","IN","Hyderabad","temperature",9999,-2408.45,1983.82,28.7,3521224.38,1876.49,1.00,28.93,1.62,0.39,NULL,NULL,NULL,NULL,NULL,NULL
"2021-04-04","IN","Hyderabad","temperature",9999,-2813.52,2308.46,28.65,4108082.19,2026.84,1.00,28.93,1.62,0.39,NULL,NULL,NULL,NULL,NULL,NULL
"2021-04-05","IN","Hyderabad","temperature",117,-3218.6,2633.1,28.6,4694940,2166.78,1.00,28.92,1.62,0.39,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-20","GB","Edinburgh","dew",113,-23.3,35.2,-6.2,2631.26,51.30,1.00,4.91,-0.43,-0.26,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-21","GB","Edinburgh","dew",102,-33.9,44.4,6.2,4528.26,67.29,1.00,4.90,-0.43,-0.26,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-19","GB","Edinburgh","dew",116,-25.8,38.8,9.5,2682.8,51.80,1.00,5.40,-0.38,-0.13,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-17","GB","Edinburgh","dew",116,-28.6,37.3,7,3489.66,59.07,1.00,5.25,-0.39,-0.17,NULL,NULL,NULL,NULL,NULL,NULL
"2019-05-18","GB","Edinburgh","dew",111,-26.5,38,10.1,3418.2,58.47,1.00,5.35,-0.38,-0.14,NULL,NULL,NULL,NULL,NULL,NULL
