"date","country","city","variable","count","min","max","median","variance","sd","completeness_score","30_day_rolling_avg","z_score_all","z_score_city","over_who_limit","avg_time_24h","avg_time_8h","monthly_percent_exceeded","avg_magnitude","magnitude_score"
"2020-08-16","HR","Rijeka","dew",138,15,67.5,17.5,1058.02,32.53,1.0,17.01,0.98,2.62,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-04","AR","Buenos Aires","dew",9999,17.22,51.72,19.89,1687.22,41.08,0.74,21.83,1.54,2.61,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-03","AR","Buenos Aires","dew",9999,19.11,39.11,21.44,857.15,29.28,0.74,22.48,1.62,2.75,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-21","HR","Rijeka","dew",144,16.5,29,18.6,62.16,7.88,1.0,17.58,1.05,2.73,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-02","AR","Buenos Aires","dew",22,21,26.5,23,27.08,5.2,0.74,23.0,1.68,2.86,NULL,NULL,NULL,NULL,NULL,NULL
"2019-01-01","AR","Buenos Aires","dew",24,18,26,23,69.02,8.31,0.74,23.0,1.68,2.86,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-26","US","Indianapolis","dew",19,19,24,23,30.41,5.51,1.0,19.56,1.28,2.62,NULL,NULL,NULL,NULL,NULL,NULL
"2022-10-06","IL","Haifa","dew",9999,20.38,22.59,21.56,7.17,2.68,0.29,14.52,0.69,2.72,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-07","FR","Perpignan","dew",18,21.5,22.5,22,1.18,1.09,0.45,14.79,0.72,2.66,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-22","HR","Rijeka","dew",144,20,22.5,21,5.44,2.33,1.0,17.69,1.06,2.75,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-30","HR","Rijeka","dew",144,17,22.5,20.5,29.16,5.4,1.0,17.46,1.03,2.71,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-27","US","Indianapolis","dew",9999,18,22.5,21.5,24.27,4.93,1.0,19.63,1.28,2.63,NULL,NULL,NULL,NULL,NULL,NULL
"2022-10-07","IL","Haifa","dew",9999,20.18,22.45,21.41,7.74,2.78,0.29,15.5,0.8,2.98,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-08","FR","Perpignan","dew",9999,21.39,22.44,21.89,1.58,1.26,0.45,15.67,0.82,2.87,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-09","FR","Perpignan","dew",9999,21.28,22.38,21.79,1.97,1.4,0.45,16.35,0.9,3.04,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-10","FR","Perpignan","dew",9999,21.16,22.32,21.68,2.37,1.54,0.45,16.89,0.96,3.17,NULL,NULL,NULL,NULL,NULL,NULL
"2022-10-08","IL","Haifa","dew",9999,19.97,22.31,21.26,8.31,2.88,0.29,16.22,0.89,3.18,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-11","FR","Perpignan","dew",9999,21.05,22.26,21.58,2.76,1.66,0.45,17.31,1.01,3.27,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-12","FR","Perpignan","dew",9999,20.94,22.2,21.47,3.16,1.78,0.45,17.66,1.05,3.35,NULL,NULL,NULL,NULL,NULL,NULL
"2022-10-09","IL","Haifa","dew",9999,19.76,22.18,21.12,8.88,2.98,0.29,16.77,0.95,3.33,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-13","FR","Perpignan","dew",9999,20.83,22.14,21.37,3.55,1.88,0.45,17.94,1.09,3.42,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-14","FR","Perpignan","dew",9999,20.72,22.09,21.26,3.95,1.99,0.45,18.18,1.12,3.48,NULL,NULL,NULL,NULL,NULL,NULL
"2022-10-10","IL","Haifa","dew",9999,19.56,22.04,20.97,9.45,3.07,0.29,17.19,1.0,3.44,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-15","FR","Perpignan","dew",9999,20.61,22.03,21.16,4.34,2.08,0.45,18.38,1.14,3.52,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-23","HR","Rijeka","dew",144,14,22,16,91.46,9.56,1.0,17.65,1.05,2.74,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-17","HR","Rijeka","dew",114,17,22,19,16.97,4.12,1.0,17.42,1.03,2.7,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-22","US","Indianapolis","dew",18,21,22,21.5,2.35,1.53,1.0,19.03,1.21,2.53,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-21","US","Indianapolis","dew",19,17,22,20,31.77,5.64,1.0,18.86,1.19,2.51,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-23","US","Indianapolis","dew",22,18,22,19,15.49,3.94,1.0,19.14,1.23,2.55,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-24","US","Indianapolis","dew",21,18,22,20,13.89,3.73,1.0,19.29,1.25,2.57,NULL,NULL,NULL,NULL,NULL,NULL
"2022-10-11","IL","Haifa","dew",9999,19.35,21.9,20.82,10.02,3.17,0.29,17.52,1.04,3.53,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-08","IT","Parma","dew",9999,17.62,21.52,19.57,9.5,3.08,0.35,14.18,0.65,2.63,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-09","IT","Parma","dew",9999,17.54,21.42,19.48,9.45,3.07,0.35,14.79,0.72,2.78,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-10","IT","Parma","dew",9999,17.46,21.33,19.39,9.39,3.06,0.35,15.32,0.78,2.92,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-11","IT","Parma","dew",9999,17.38,21.23,19.31,9.33,3.05,0.35,15.79,0.84,3.04,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-02","US","Indianapolis","dew",20,16,21,18,15.39,3.92,1.0,19.19,1.23,2.56,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-29","HR","Rijeka","dew",132,17,21,19,8.85,2.97,1.0,17.38,1.02,2.69,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-18","HR","Rijeka","dew",9999,16,21,18.17,17.95,4.24,1.0,17.51,1.04,2.72,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-28","US","Indianapolis","dew",9999,17,21,20,18.13,4.26,1.0,19.63,1.28,2.63,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-25","US","Indianapolis","dew",22,17,21,19,11.8,3.44,1.0,19.43,1.26,2.6,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-13","RS","Novi Sad","dew",69,15,20.5,17,22.63,4.76,1.0,16.75,0.95,2.56,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-12","RS","Novi Sad","dew",69,14.5,20.5,18.5,34.27,5.85,1.0,16.68,0.94,2.55,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-31","HR","Rijeka","dew",144,12,20.5,17,41.74,6.46,1.0,17.42,1.03,2.7,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-19","HR","Rijeka","dew",9999,15,20,17.33,18.94,4.35,1.0,17.56,1.04,2.73,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-01","US","Indianapolis","dew",9999,15.67,20,17.67,12.21,3.49,1.0,19.27,1.24,2.57,NULL,NULL,NULL,NULL,NULL,NULL
"2020-09-06","HR","Rijeka","dew",138,14.5,20,16.5,21.16,4.6,0.93,16.76,0.95,2.57,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-11","GB","Leeds","dew",40,14,20,16.5,29.2,5.4,0.87,13.09,0.52,2.59,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-12","GB","Leeds","dew",48,15.5,20,17,17.38,4.17,0.87,13.42,0.56,2.69,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-11","RS","Novi Sad","dew",72,15.5,20,18,17.24,4.15,1.0,16.56,0.93,2.53,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-29","US","Indianapolis","dew",9999,16,19.5,18.5,11.99,3.46,1.0,19.57,1.28,2.62,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-28","HR","Rijeka","dew",138,17,19.5,18,5.02,2.24,1.0,17.35,1.02,2.68,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-15","HR","Rijeka","dew",144,15.5,19.5,17.5,14.46,3.8,1.0,16.65,0.94,2.54,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-26","HR","Rijeka","dew",138,13,19,16.5,28.17,5.31,1.0,17.39,1.02,2.69,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-20","HR","Rijeka","dew",120,14,19,16.5,19.92,4.46,1.0,17.53,1.04,2.72,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-31","US","Indianapolis","dew",9999,15.33,19,17.33,9.03,3.0,1.0,19.36,1.25,2.59,NULL,NULL,NULL,NULL,NULL,NULL
"2021-07-26","US","El Paso","dew",48,10,19,14,55.95,7.48,1.0,13.59,0.58,2.67,NULL,NULL,NULL,NULL,NULL,NULL
"2020-09-07","HR","Rijeka","dew",144,12.5,19,14,39.93,6.32,0.93,16.7,0.94,2.55,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-03","US","Indianapolis","dew",23,16,19,17,8.5,2.92,1.0,19.06,1.22,2.54,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-27","HR","Rijeka","dew",132,16,18.5,16.5,8.35,2.89,1.0,17.35,1.02,2.68,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-08","GB","Cardiff","dew",24,13,18,14,33.84,5.82,0.58,13.89,0.61,2.86,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-24","HR","Rijeka","dew",102,10,18,14,28.36,5.33,1.0,17.54,1.04,2.72,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-09","GB","Cardiff","dew",22,15,18,16,10.22,3.2,0.58,13.95,0.62,2.88,NULL,NULL,NULL,NULL,NULL,NULL
"2023-07-09","HR","Zagreb","dew",9999,10.5,18,16,50.69,7.12,0.29,12.88,0.5,2.73,NULL,NULL,NULL,NULL,NULL,NULL
"2023-07-08","HR","Zagreb","dew",9999,10.5,18,16,50.69,7.12,0.29,12.32,0.43,2.57,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-19","GB","Leeds","dew",34,12.5,18,15,31.21,5.59,0.87,13.71,0.59,2.77,NULL,NULL,NULL,NULL,NULL,NULL
"2020-07-30","US","Indianapolis","dew",19,15,18,17,5.85,2.42,1.0,19.46,1.26,2.6,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-09","XK","Pristina","dew",9999,8.97,17.91,15.92,65.9,8.12,0.29,10.64,0.24,2.59,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-10","XK","Pristina","dew",9999,8.97,17.89,15.9,65.77,8.11,0.29,11.17,0.3,2.75,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-20","GB","Leeds","dew",9999,12.21,17.88,14.69,34.02,5.83,0.87,13.76,0.6,2.79,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-11","XK","Pristina","dew",9999,8.96,17.88,15.88,65.65,8.1,0.29,11.59,0.35,2.87,NULL,NULL,NULL,NULL,NULL,NULL
"2022-07-12","XK","Pristina","dew",9999,8.96,17.86,15.87,65.52,8.09,0.29,11.95,0.39,2.98,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-21","GB","Leeds","dew",9999,11.93,17.76,14.38,36.82,6.07,0.87,13.79,0.6,2.79,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-22","GB","Leeds","dew",9999,11.64,17.64,14.07,39.63,6.3,0.87,13.8,0.6,2.8,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-23","GB","Leeds","dew",9999,11.36,17.52,13.76,42.44,6.51,0.87,13.8,0.6,2.8,NULL,NULL,NULL,NULL,NULL,NULL
"2019-08-14","RS","Novi Sad","dew",66,14,17.5,16,8.45,2.91,1.0,16.84,0.96,2.58,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-24","GB","Leeds","dew",9999,11.07,17.4,13.45,45.24,6.73,0.87,13.79,0.6,2.79,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-25","GB","Leeds","dew",9999,10.79,17.29,13.14,48.05,6.93,0.87,13.76,0.6,2.79,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-26","GB","Leeds","dew",9999,10.5,17.17,12.83,50.86,7.13,0.87,13.72,0.6,2.77,NULL,NULL,NULL,NULL,NULL,NULL
"2020-08-27","GB","Leeds","dew",9999,10.21,17.05,12.52,53.66,7.33,0.87,13.68,0.59,2.76,NULL,NULL,NULL,NULL,NULL,NULL
"2021-07-23","US","El Paso","dew",25,10,17,14,48.89,6.99,1.0,12.96,0.51,2.53,NULL,NULL,NULL,NULL,NULL,NULL
"2021-07-25","US","El Paso","dew",32,12,17,14,24.48,4.95,1.0,13.33,0.55,2.61,NULL,NULL,NULL,NULL,NULL,NULL
"2021-07-24","US","El Paso","dew",38,12,17,16,29.19,5.4,1.0,13.18,0.53,2.58,NULL,NULL,NULL,NULL,NULL,NULL
